latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.24458,-70.40698,307.51,1.6,1.25,2025-04-21,0217,T,72,6.1NRT,295.86,12.19,N
19.00901,-71.41751,306.32,1.4,1.17,2025-04-21,0217,T,68,6.1NRT,290.2,12.89,N
20.59392,-76.79708,312.44,1.03,1.02,2025-04-21,0217,T,85,6.1NRT,294.46,10.63,N
20.76425,-76.50839,320.13,1.02,1.01,2025-04-21,0217,T,100,6.1NRT,294.07,17.14,N
21.00902,-78.39776,312.72,1.18,1.08,2025-04-21,0217,T,86,6.1NRT,294.89,12.71,N
21.4201,-77.08092,319.14,1.04,1.02,2025-04-21,0217,T,98,6.1NRT,294.95,16.51,N
21.45135,-77.67837,315.16,1.08,1.04,2025-04-21,0217,T,91,6.1NRT,294.21,14.24,N
21.44982,-77.6885,304.66,1.08,1.04,2025-04-21,0217,T,60,6.1NRT,294.08,5.55,N
21.53037,-78.55092,304.75,1.18,1.08,2025-04-21,0217,T,61,6.1NRT,294.07,6.33,N
21.84875,-77.867,313.84,1.09,1.04,2025-04-21,0217,T,88,6.1NRT,294.56,12.53,N
22.19982,-80.62289,316.45,1.54,1.22,2025-04-21,0217,T,93,6.1NRT,294.22,25.13,N
22.32824,-80.80459,303.64,1.57,1.24,2025-04-21,0217,T,56,6.1NRT,293.53,8.19,N
22.45467,-80.21233,310.87,1.43,1.18,2025-04-21,0217,T,81,6.1NRT,288.2,17.98,N
22.45242,-80.22574,307.32,1.43,1.18,2025-04-21,0217,T,71,6.1NRT,287.55,13.86,N
22.31194,-81.64346,317.35,1.8,1.32,2025-04-21,0217,T,95,6.1NRT,293.16,33.52,N
22.30896,-81.66029,311,1.81,1.32,2025-04-21,0217,T,81,6.1NRT,293.03,21.37,N
22.56547,-80.29539,302.36,1.44,1.19,2025-04-21,0217,T,49,6.1NRT,292.3,7.49,N
22.61269,-80.3111,303.09,1.44,1.19,2025-04-21,0217,T,52,6.1NRT,292.44,8.44,N
22.72892,-81.44704,305.47,1.71,1.28,2025-04-21,0217,T,64,6.1NRT,292.54,12.52,N
22.74011,-81.44934,318.7,1.71,1.28,2025-04-21,0217,T,97,6.1NRT,292.54,33.78,N
22.36725,-83.92951,303.13,2.65,1.56,2025-04-21,0217,T,43,6.1NRT,290.94,21.94,N
22.38057,-83.93375,311.1,2.65,1.56,2025-04-21,0217,T,82,6.1NRT,291.71,42.59,N
22.37585,-83.9585,301.63,2.66,1.57,2025-04-21,0217,T,38,6.1NRT,291.59,15.64,N
26.44369,-77.13676,314.48,1,1,2025-04-21,0219,T,85,6.1NRT,291.75,12.95,N
26.44232,-77.14651,312.56,1,1,2025-04-21,0219,T,79,6.1NRT,291.57,11.15,N
26.4511,-77.14806,316.19,1,1,2025-04-21,0219,T,90,6.1NRT,291.15,14.5,N
26.95858,-81.11993,315.96,1.36,1.16,2025-04-21,0219,T,92,6.1NRT,287.9,22.46,N
26.95634,-81.13319,301.1,1.37,1.16,2025-04-21,0219,T,38,6.1NRT,286.38,6.54,N
